"对象","编码","名称","颜色","现有图片","素材键","来源","文件状态","校对结论"
"款式","SPU-QC-001","后道验收衬衫","黑色","/materials/pcs-reviewed/shirt-black.jpg","shirt-black","https://business.walmart.com/ip/sogami-Long-Sleeve-Cotton-Dress-Shirts-for-Men-Button-Down-Shirt-Regular-Fit/5326204783","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-QC-002","后道验收连衣裙","黑色","/materials/pcs-reviewed/casual-dress-black.jpg","casual-dress-black","https://gate.shop/cz/damske-bavlnene-mini-saty-7","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-QC-003","后道验收外套","黑色","/materials/pcs-reviewed/jacket-black.jpg","jacket-black","https://www.evolveclothing.com/en/Tommy-Hilfiger-Mens-Lightweight-Blouson-Jacket---Black/m-24834.aspx","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202603-012","Kaos Polos Premium 高端纯色T恤","Black","/materials/pcs-reviewed/tee-black.jpg","tee-black","https://www.thewarehouse.co.nz/p/hh-womens-essential-short-sleeve-crew-neck-tee/RM110161302-1M.html","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202603-011","Jaket Hoodie Unisex 连帽夹克","Black","/materials/pcs-reviewed/hood-black.jpg","hood-black","https://www.celio.com/en-fr/p/100-cotton-hooded-jacket---black/1186096.html","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202603-010","Blazer Wanita Formal 女装正装外套","Black","/materials/pcs-reviewed/blazer-black.jpg","blazer-black","https://www.rolando.co.za/Shop/Shop?strCategories=s42&strPageHeader=Ladies+Formal+Jackets","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202603-009","Rok Mini Plisket 百褶短裙","Black","/materials/pcs-reviewed/pleated-black.jpg","pleated-black","https://www.uniqlo.com/us/en/products/E458051-000/00?colorDisplayCode=09","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202603-008","男士休闲长裤","Black","/materials/pcs-reviewed/trousers-black.jpg","trousers-black","https://suitsupply.com/en-us/men/trousers/suit-trousers","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202603-007","Dress Wanita Casual 休闲连衣短裙","Black","/materials/pcs-reviewed/casual-dress-black.jpg","casual-dress-black","https://gate.shop/cz/damske-bavlnene-mini-saty-7","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202603-006","Kemeja Batik Pria Modern 现代蜡染衬衫","Black","/materials/pcs-reviewed/batik-black.jpg","batik-black","https://hadinatabatik.com/products/hadinata-batik-pria-kemeja-pendek-slimfit-ranvir-ranita","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
